"","P","Y","A","G"
"380",3,4,1,1
"381",2,2,2,0
"382",2,2,1,0
"383",4,5,1,1
"384",5,5,2,0
"385",3,4,1,1
"386",4,5,2,1
"387",4,5,2,1
"388",4,5,2,1
"389",5,5,2,0
"390",4,4,1,0
"391",4,5,1,1
"392",3,3,1,0
"393",5,5,1,0
"394",4,5,2,1
"395",4,5,2,1
"396",2,5,1,3
"397",3,4,1,1
"398",3,4,1,1
"399",5,5,2,0
"400",1,5,1,4
"401",4,5,1,1
"402",4,4,1,0
"403",5,5,2,0
"404",5,5,2,0
"405",3,4,2,1
"406",2,3,2,1
"407",5,5,1,0
"408",5,5,2,0
"409",3,5,1,2
"410",3,4,2,1
"411",5,5,1,0
"412",3,4,1,1
"413",4,4,1,0
"414",4,4,1,0
"415",4,4,1,0
"416",2,2,1,0
"417",3,4,1,1
"418",3,5,2,2
"419",3,3,2,0
"420",5,5,2,0
"421",4,4,2,0
"422",3,4,2,1
"423",4,5,1,1
"424",2,1,1,-1
"425",2,2,1,0
"426",3,3,1,0
"427",4,5,1,1
"428",2,5,1,3
"429",5,5,2,0
"430",2,3,2,1
"431",4,5,2,1
"432",5,5,1,0
"433",2,2,1,0
"434",4,5,1,1
"435",4,5,1,1
"437",5,5,1,0
"438",4,4,1,0
"440",5,5,2,0
"441",2,3,2,1
"442",3,5,2,2
"443",5,5,2,0
"444",3,2,2,-1
"445",2,4,2,2
"446",3,4,2,1
"447",4,5,2,1
"448",3,4,2,1
"449",4,5,2,1
"450",5,5,2,0
"451",5,5,2,0
"452",2,3,2,1
"453",2,4,2,2
"454",5,5,2,0
"455",5,5,2,0
"456",3,5,2,2
"457",3,3,2,0
"458",3,4,2,1
"459",5,5,2,0
"460",4,5,1,1
"461",5,5,1,0
"462",4,5,1,1
"463",5,5,1,0
"464",2,3,1,1
"465",3,4,1,1
"466",3,4,1,1
"467",4,5,1,1
"468",3,4,1,1
"469",4,5,1,1
"470",5,5,2,0
"471",4,4,2,0
"472",5,5,2,0
"473",5,5,2,0
"474",4,5,2,1
"475",5,5,2,0
"476",4,5,2,1
"477",5,2,2,-3
"478",5,5,2,0
"479",3,5,2,2
"480",4,5,1,1
"481",4,5,1,1
"482",5,5,1,0
"483",3,5,1,2
"484",5,5,1,0
"485",3,5,1,2
"486",5,5,1,0
"487",3,5,1,2
"488",5,5,1,0
"489",2,3,1,1
"490",5,5,2,0
"491",5,5,2,0
"492",5,5,1,0
"493",4,3,1,-1
"494",2,4,1,2
"495",4,4,1,0
"496",4,5,2,1
"497",5,5,2,0
"498",5,5,2,0
"499",4,4,2,0
"500",5,5,2,0
"501",4,5,2,1
"502",4,4,1,0
"503",4,4,1,0
"504",3,5,1,2
"505",5,4,2,-1
"506",2,3,2,1
"507",5,5,2,0
"508",4,3,1,-1
"509",4,5,2,1
"510",5,5,2,0
"511",5,5,1,0
"512",4,5,1,1
"513",4,5,1,1
"514",4,4,1,0
"515",5,5,1,0
"516",5,5,1,0
"517",2,1,2,-1
"518",2,4,1,2
"519",2,4,2,2
